*** szafir SiO2 20 mkm 15-04-2019	*START	Date: 2019-04-15	Time: 13:31:42
Current for R :2.000mA	Current 3-Omega25.000 mA		

Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
200.0000	200.0044	202.6025	 19.3302	 12.0814	 25.0000
					
U3x[V]  	U3y[V]  	Phase[deg]	|U1|[V]  	F[Hz]    	Ts[K]  
U3x[V]  	U3y[V]  	Phase[deg]	|U1|[V]  	F[Hz]    	Ts[K]  
1.642880E-4	-2.389400E-5	8.310000E+0	5.069800E-1	6.310000E+0	2.220678E+2
1.622620E-4	-2.305600E-5	8.070000E+0	5.109800E-1	7.940000E+0	2.220681E+2
1.604880E-4	-2.212600E-5	7.850000E+0	5.127000E-1	1.000000E+1	2.220704E+2
1.568000E-4	-2.035800E-5	7.390000E+0	5.134000E-1	1.260000E+1	2.220935E+2
1.541820E-4	-1.942200E-5	7.210000E+0	5.137000E-1	1.580000E+1	2.220755E+2
1.520980E-4	-1.808400E-5	6.780000E+0	5.139000E-1	1.990000E+1	2.220889E+2
1.497560E-4	-1.709600E-5	6.530000E+0	5.139000E-1	2.510000E+1	2.220887E+2
1.477740E-4	-1.647800E-5	6.380000E+0	5.140000E-1	3.160000E+1	2.220925E+2
1.457420E-4	-1.586200E-5	6.200000E+0	5.140000E-1	3.980000E+1	2.220999E+2
1.441420E-4	-1.559000E-5	7.370000E+0	5.131900E-1	5.010000E+1	2.220992E+2
1.419420E-4	-1.561200E-5	6.310000E+0	5.140000E-1	6.310000E+1	2.220824E+2
1.398800E-4	-1.572200E-5	6.420000E+0	5.140000E-1	7.940000E+1	2.220776E+2
1.377040E-4	-1.604600E-5	6.660000E+0	5.139900E-1	1.000000E+2	2.220838E+2
1.353960E-4	-1.629200E-5	6.880000E+0	5.140000E-1	1.260000E+2	2.220740E+2
1.330900E-4	-1.659200E-5	7.130000E+0	5.140000E-1	1.580000E+2	2.220798E+2
1.306800E-4	-1.673000E-5	7.290000E+0	5.139900E-1	1.990000E+2	2.220833E+2
1.283040E-4	-1.698600E-5	7.540000E+0	5.139900E-1	2.510000E+2	2.220753E+2
1.257780E-4	-1.718400E-5	7.780000E+0	5.140000E-1	3.160000E+2	2.220800E+2
1.234860E-4	-1.750400E-5	8.060000E+0	5.140000E-1	3.980000E+2	2.220729E+2
1.210000E-4	-1.781600E-5	8.400000E+0	5.139900E-1	5.010000E+2	2.220807E+2
1.186340E-4	-1.823200E-5	8.750000E+0	5.140000E-1	6.310000E+2	2.220698E+2
1.163560E-4	-1.870400E-5	9.120000E+0	5.139000E-1	7.940000E+2	2.220894E+2
1.140340E-4	-1.930400E-5	9.610000E+0	5.139000E-1	1.000000E+3	2.220777E+2
1.116420E-4	-2.010000E-5	1.024000E+1	5.139000E-1	1.260000E+3	2.220761E+2
1.093380E-4	-2.119000E-5	1.091000E+1	5.139000E-1	1.580000E+3	2.220717E+2
1.064500E-4	-2.289600E-5	1.210000E+1	5.139000E-1	1.990000E+3	2.220799E+2
1.031240E-4	-2.428800E-5	1.319000E+1	5.139000E-1	2.510000E+3	2.220688E+2
1.000840E-4	-2.606200E-5	1.455000E+1	5.139000E-1	3.160000E+3	2.220693E+2
1.015660E-4	-2.826000E-5	1.554000E+1	5.138000E-1	3.980000E+3	2.220721E+2
9.977000E-5	-3.239000E-5	1.798000E+1	5.138000E-1	5.010000E+3	2.220740E+2
9.637600E-5	-3.905600E-5	2.207000E+1	5.137700E-1	6.310000E+3	2.220671E+2
9.017600E-5	-4.558600E-5	2.684000E+1	5.137000E-1	7.940000E+3	2.220779E+2
8.555600E-5	-4.848800E-5	2.951000E+1	5.136000E-1	1.000000E+4	2.220553E+2
7.562400E-5	-5.516000E-5	3.620000E+1	5.135000E-1	1.260000E+4	2.220788E+2
8.123400E-5	-6.276600E-5	3.778000E+1	5.133000E-1	1.580000E+4	2.220672E+2
7.606800E-5	-7.590600E-5	4.484000E+1	5.130000E-1	1.990000E+4	2.220674E+2
7.205600E-5	-8.133600E-5	4.849000E+1	5.129000E-1	2.200000E+4	2.220798E+2
					
Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
225.0000	225.0041	226.8854	 20.2975	 12.6859	 25.0000
					
U3x[V]  	U3y[V]  	Phase[deg]	|U1|[V]  	F[Hz]    	Ts[K]  
1.676520E-4	-2.452200E-5	8.280000E+0	5.117400E-1	6.310000E+0	2.268944E+2
1.654300E-4	-2.360400E-5	8.120000E+0	5.154900E-1	7.940000E+0	2.268889E+2
1.620680E-4	-2.321400E-5	8.180000E+0	5.171000E-1	1.000000E+1	2.269051E+2
1.599460E-4	-2.087400E-5	7.400000E+0	5.178000E-1	1.260000E+1	2.269070E+2
1.574760E-4	-1.983000E-5	7.210000E+0	5.180000E-1	1.580000E+1	2.269183E+2
1.548820E-4	-1.841600E-5	6.780000E+0	5.181000E-1	1.990000E+1	2.269168E+2
1.526640E-4	-1.760000E-5	6.570000E+0	5.182000E-1	2.510000E+1	2.269127E+2
1.505680E-4	-1.698000E-5	6.430000E+0	5.182000E-1	3.160000E+1	2.269092E+2
1.486120E-4	-1.637200E-5	6.310000E+0	5.182300E-1	3.980000E+1	2.269177E+2
1.465960E-4	-1.612200E-5	6.970000E+0	5.175600E-1	5.010000E+1	2.269120E+2
1.445180E-4	-1.628000E-5	6.440000E+0	5.182000E-1	6.310000E+1	2.269112E+2
1.424060E-4	-1.640800E-5	6.570000E+0	5.182000E-1	7.940000E+1	2.269126E+2
1.400260E-4	-1.670400E-5	6.830000E+0	5.182000E-1	1.000000E+2	2.269233E+2
1.375800E-4	-1.696600E-5	7.040000E+0	5.182000E-1	1.260000E+2	2.269030E+2
1.352340E-4	-1.721600E-5	7.270000E+0	5.182000E-1	1.580000E+2	2.269196E+2
1.326660E-4	-1.738600E-5	7.440000E+0	5.182000E-1	1.990000E+2	2.269018E+2
1.301780E-4	-1.765000E-5	7.730000E+0	5.182000E-1	2.510000E+2	2.268943E+2
1.276240E-4	-1.783000E-5	7.950000E+0	5.182000E-1	3.160000E+2	2.269116E+2
1.250880E-4	-1.813400E-5	8.260000E+0	5.182000E-1	3.980000E+2	2.269132E+2
1.227280E-4	-1.842600E-5	8.520000E+0	5.182000E-1	5.010000E+2	2.269048E+2
1.203660E-4	-1.887400E-5	8.960000E+0	5.182000E-1	6.310000E+2	2.268962E+2
1.177920E-4	-1.936200E-5	9.300000E+0	5.182000E-1	7.940000E+2	2.269051E+2
1.154000E-4	-2.001000E-5	9.900000E+0	5.182000E-1	1.000000E+3	2.269043E+2
1.128680E-4	-2.076000E-5	1.042000E+1	5.182000E-1	1.260000E+3	2.269023E+2
1.103420E-4	-2.194600E-5	1.127000E+1	5.182000E-1	1.580000E+3	2.269079E+2
1.075280E-4	-2.356400E-5	1.232000E+1	5.182000E-1	1.990000E+3	2.269061E+2
1.041400E-4	-2.495400E-5	1.343000E+1	5.182000E-1	2.510000E+3	2.269113E+2
1.009980E-4	-2.677400E-5	1.486000E+1	5.182000E-1	3.160000E+3	2.269006E+2
1.023520E-4	-2.897200E-5	1.571000E+1	5.180700E-1	3.980000E+3	2.269097E+2
1.003720E-4	-3.324000E-5	1.838000E+1	5.181000E-1	5.010000E+3	2.269106E+2
9.670400E-5	-3.986400E-5	2.246000E+1	5.180000E-1	6.310000E+3	2.269096E+2
9.042800E-5	-4.626800E-5	2.697000E+1	5.179000E-1	7.940000E+3	2.269028E+2
8.093600E-5	-5.088800E-5	3.208000E+1	5.178300E-1	1.000000E+4	2.269148E+2
7.533000E-5	-5.594200E-5	3.663000E+1	5.177000E-1	1.260000E+4	2.269178E+2
8.164200E-5	-6.484400E-5	3.860000E+1	5.175700E-1	1.580000E+4	2.269007E+2
7.503400E-5	-7.610600E-5	4.546000E+1	5.173000E-1	1.990000E+4	2.269036E+2
7.118000E-5	-8.603400E-5	5.041000E+1	5.171000E-1	2.200000E+4	2.269123E+2
					
Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
230.0000	229.8458	230.9847	 20.4675	 12.7922	 25.0000
					
U3x[V]  	U3y[V]  	Phase[deg]	|U1|[V]  	F[Hz]    	Ts[K]  
1.708340E-4	-2.526600E-5	8.430000E+0	5.163200E-1	6.310000E+0	2.315809E+2
1.685850E-4	-2.413000E-5	8.170000E+0	5.200300E-1	7.940000E+0	2.316327E+2
1.654820E-4	-2.160200E-5	7.470000E+0	5.215000E-1	1.000000E+1	2.316592E+2
1.628460E-4	-2.137200E-5	7.470000E+0	5.221000E-1	1.260000E+1	2.316573E+2
1.601160E-4	-2.002000E-5	7.210000E+0	5.223000E-1	1.580000E+1	2.316545E+2
1.577060E-4	-1.890200E-5	6.840000E+0	5.224000E-1	1.990000E+1	2.316648E+2
1.553880E-4	-1.800000E-5	6.600000E+0	5.225000E-1	2.510000E+1	2.316819E+2
1.532540E-4	-1.745800E-5	6.510000E+0	5.225000E-1	3.160000E+1	2.316622E+2
1.512420E-4	-1.701800E-5	6.440000E+0	5.225000E-1	3.980000E+1	2.316556E+2
1.487540E-4	-1.725800E-5	5.560000E+0	5.249700E-1	5.010000E+1	2.316679E+2
1.469540E-4	-1.694200E-5	6.550000E+0	5.224400E-1	6.310000E+1	2.316578E+2
1.447800E-4	-1.711800E-5	6.730000E+0	5.224000E-1	7.940000E+1	2.316776E+2
