*** Si_SiO2 - 22_02_2022	*START	Date: 2024-02-22	Time: 14:53:13
Current for R :1.000mA	Current 3-Omega30.000 mA		
					
Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
2.947450E-4	-4.051500E-5	7.830000E+0	8.562000E-1	1.580000E+1	2.882536E+2
2.884550E-4	-3.851500E-5	7.600000E+0	8.562000E-1	1.990000E+1	2.882501E+2
2.824650E-4	-3.633000E-5	7.300000E+0	8.560100E-1	2.510000E+1	2.882261E+2
2.772000E-4	-3.433000E-5	7.060000E+0	8.558000E-1	3.160000E+1	2.881161E+2
2.723550E-4	-3.227000E-5	6.760000E+0	8.558000E-1	3.980000E+1	2.881373E+2
2.651750E-4	-2.671500E-5	3.930000E+0	8.544800E-1	5.010000E+1	2.881528E+2
2.642950E-4	-2.856500E-5	6.160000E+0	8.559000E-1	6.310000E+1	2.882021E+2
2.607500E-4	-2.710500E-5	5.920000E+0	8.559000E-1	7.940000E+1	2.882012E+2
2.583150E-4	-2.626500E-5	5.790000E+0	8.558000E-1	1.000000E+2	2.881947E+2
2.543950E-4	-2.505500E-5	5.630000E+0	8.558000E-1	1.260000E+2	2.881770E+2
2.514300E-4	-2.477500E-5	5.620000E+0	8.558000E-1	1.580000E+2	2.881865E+2
2.494000E-4	-2.455500E-5	5.630000E+0	8.558000E-1	1.990000E+2	2.881861E+2
2.456200E-4	-2.491000E-5	5.790000E+0	8.558200E-1	2.510000E+2	2.881723E+2
2.423400E-4	-2.550000E-5	6.000000E+0	8.559000E-1	3.160000E+2	2.881870E+2
2.390450E-4	-2.629500E-5	6.270000E+0	8.559000E-1	3.980000E+2	2.881953E+2
2.355650E-4	-2.741000E-5	6.590000E+0	8.559000E-1	5.010000E+2	2.882022E+2
2.317800E-4	-2.831500E-5	7.020000E+0	8.559000E-1	6.310000E+2	2.881997E+2
2.281150E-4	-2.944500E-5	7.360000E+0	8.559000E-1	7.940000E+2	2.882001E+2
2.243100E-4	-3.054500E-5	7.620000E+0	8.559000E-1	1.000000E+3	2.882098E+2
2.207650E-4	-3.257000E-5	8.380000E+0	8.558000E-1	1.260000E+3	2.882068E+2
2.165000E-4	-3.514500E-5	9.230000E+0	8.559000E-1	1.580000E+3	2.882129E+2
2.117550E-4	-3.761000E-5	1.005000E+1	8.559000E-1	1.990000E+3	2.882176E+2
					
Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
300.0000	299.8345	298.0604	 29.3950	 26.4555	 30.0000
					
U3x[V]  	U3y[V]  	Phase[deg]	|U1|[V]  	F[Hz]    	Ts[K]  
3.371600E-4	-4.784000E-5	8.060000E+0	8.763500E-1	6.310000E+0	2.978522E+2
3.288700E-4	-4.729500E-5	8.190000E+0	8.763000E-1	7.940000E+0	2.978232E+2
3.257500E-4	-4.249500E-5	7.290000E+0	8.765000E-1	1.000000E+1	2.979226E+2
3.134400E-4	-4.448500E-5	8.070000E+0	8.767400E-1	1.260000E+1	2.981943E+2
3.064800E-4	-4.255500E-5	7.920000E+0	8.766000E-1	1.580000E+1	2.981649E+2
2.997800E-4	-4.046000E-5	7.690000E+0	8.765000E-1	1.990000E+1	2.981346E+2
2.938050E-4	-3.818500E-5	7.440000E+0	8.763000E-1	2.510000E+1	2.980834E+2
2.883750E-4	-3.607000E-5	7.130000E+0	8.763000E-1	3.160000E+1	2.980838E+2
2.834750E-4	-3.387500E-5	6.820000E+0	8.763000E-1	3.980000E+1	2.981180E+2
2.765300E-4	-3.474000E-5	6.720000E+0	8.76200E-1	5.010000E+1	2.981470E+2
2.747800E-4	-3.001000E-5	6.240000E+0	8.761000E-1	6.310000E+1	2.981180E+2
2.709100E-4	-2.856500E-5	6.020000E+0	8.761000E-1	7.940000E+1	2.981218E+2
2.682300E-4	-2.717000E-5	5.780000E+0	8.761000E-1	1.000000E+2	2.981214E+2
2.643950E-4	-2.664000E-5	5.750000E+0	8.761000E-1	1.260000E+2	2.981220E+2
2.612900E-4	-2.630500E-5	5.750000E+0	8.761000E-1	1.580000E+2	2.981241E+2
2.582150E-4	-2.622500E-5	5.800000E+0	8.761000E-1	1.990000E+2	2.981385E+2
2.548750E-4	-2.681000E-5	6.010000E+0	8.761000E-1	2.510000E+2	2.981460E+2
2.514300E-4	-2.741500E-5	6.230000E+0	8.761000E-1	3.160000E+2	2.981523E+2
2.478600E-4	-2.835000E-5	6.530000E+0	8.761000E-1	3.980000E+2	2.981577E+2
2.439450E-4	-2.930500E-5	6.860000E+0	8.761000E-1	5.010000E+2	2.981355E+2
2.399250E-4	-3.040000E-5	7.190000E+0	8.761000E-1	6.310000E+2	2.981526E+2
2.361100E-4	-3.145000E-5	7.580000E+0	8.760200E-1	7.940000E+2	2.981424E+2
2.320400E-4	-3.300500E-5	7.940000E+0	8.760000E-1	1.000000E+3	2.981514E+2
2.280900E-4	-3.482500E-5	8.660000E+0	8.759800E-1	1.260000E+3	2.981362E+2
2.234900E-4	-3.747000E-5	9.580000E+0	8.760000E-1	1.580000E+3	2.981603E+2
2.185800E-4	-4.000500E-5	1.042000E+1	8.759000E-1	1.990000E+3	2.981596E+2
					
Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
310.0000	309.7846	307.9420	 30.0300	 27.0270	 30.0000
					
U3x[V]  	U3y[V]  	Phase[deg]	|U1|[V]  	F[Hz]    	Ts[K]  
3.505500E-4	-5.069500E-5	8.230000E+0	8.953000E-1	6.310000E+0	3.077202E+2
3.420000E-4	-4.990000E-5	8.300000E+0	8.955000E-1	7.940000E+0	3.076963E+2
3.379100E-4	-4.380000E-5	7.350000E+0	8.959000E-1	1.000000E+1	3.078657E+2
3.260350E-4	-4.685000E-5	8.170000E+0	8.962000E-1	1.260000E+1	3.081001E+2
3.186550E-4	-4.472500E-5	8.000000E+0	8.962000E-1	1.580000E+1	3.081133E+2
3.117400E-4	-4.260000E-5	7.800000E+0	8.960000E-1	1.990000E+1	3.080897E+2
3.052850E-4	-4.008000E-5	7.480000E+0	8.958000E-1	2.510000E+1	3.080289E+2
2.996600E-4	-3.798000E-5	7.220000E+0	8.957000E-1	3.160000E+1	3.079839E+2
2.944900E-4	-3.557000E-5	6.890000E+0	8.958000E-1	3.980000E+1	3.080422E+2
2.879450E-4	-3.204000E-5	5.850000E+0	8.939100E-1	5.010000E+1	3.080529E+2
2.854300E-4	-3.159000E-5	6.310000E+0	8.956000E-1	6.310000E+1	3.080440E+2
2.815350E-4	-3.009000E-5	6.100000E+0	8.955700E-1	7.940000E+1	3.080377E+2
2.785000E-4	-2.923500E-5	5.990000E+0	8.955700E-1	1.000000E+2	3.080483E+2
2.745500E-4	-2.827500E-5	5.890000E+0	8.955000E-1	1.260000E+2	3.080442E+2
2.712250E-4	-2.799000E-5	5.930000E+0	8.956000E-1	1.580000E+2	3.080616E+2
2.688200E-4	-2.813000E-5	5.960000E+0	8.956000E-1	1.990000E+2	3.080802E+2
2.641550E-4	-2.858500E-5	6.180000E+0	8.955600E-1	2.510000E+2	3.080617E+2
2.604150E-4	-2.931500E-5	6.430000E+0	8.956000E-1	3.160000E+2	3.080718E+2
2.564850E-4	-3.030000E-5	6.730000E+0	8.956000E-1	3.980000E+2	3.080714E+2
2.523700E-4	-3.134500E-5	7.080000E+0	8.955300E-1	5.010000E+2	3.080721E+2
2.480550E-4	-3.247500E-5	7.420000E+0	8.955000E-1	6.310000E+2	3.080689E+2
2.436750E-4	-3.361500E-5	7.850000E+0	8.955000E-1	7.940000E+2	3.080782E+2
2.393800E-4	-3.516000E-5	8.520000E+0	8.954900E-1	1.000000E+3	3.080509E+2
2.350900E-4	-3.711500E-5	9.000000E+0	8.954000E-1	1.260000E+3	3.080657E+2
2.300900E-4	-3.974500E-5	9.770000E+0	8.955000E-1	1.580000E+3	3.080569E+2
2.247750E-4	-4.241000E-5	1.073000E+1	8.954000E-1	1.990000E+3	3.080734E+2
					
Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
320.0000	320.2049	317.7371	 30.6785	 27.6106	 30.0000
					
U3x[V]  	U3y[V]  	Phase[deg]	|U1|[V]  	F[Hz]    	Ts[K]  
3.653800E-4	-5.361000E-5	8.350000E+0	9.156000E-1	6.310000E+0	3.178871E+2
3.550500E-4	-5.260000E-5	8.430000E+0	9.156000E-1	7.940000E+0	3.179256E+2
3.419550E-4	-4.603500E-5	7.640000E+0	9.155000E-1	1.000000E+1	3.178984E+2
3.378400E-4	-4.917500E-5	8.290000E+0	9.154200E-1	1.260000E+1	3.178449E+2
3.302300E-4	-4.692500E-5	8.090000E+0	9.155000E-1	1.580000E+1	3.178494E+2
3.231350E-4	-4.452000E-5	7.870000E+0	9.156000E-1	1.990000E+1	3.178756E+2
3.165750E-4	-4.198500E-5	7.600000E+0	9.156000E-1	2.510000E+1	3.179230E+2
3.105400E-4	-3.970500E-5	7.280000E+0	9.155000E-1	3.160000E+1	3.179290E+2
3.052550E-4	-3.723000E-5	6.960000E+0	9.155000E-1	3.980000E+1	3.178980E+2
2.966200E-4	-3.616000E-5	4.980000E+0	9.153100E-1	5.010000E+1	3.179123E+2
2.958200E-4	-3.325000E-5	6.420000E+0	9.154000E-1	6.310000E+1	3.179310E+2
2.918450E-4	-3.162000E-5	6.170000E+0	9.154000E-1	7.940000E+1	3.179274E+2
2.885700E-4	-3.040500E-5	6.000000E+0	9.154000E-1	1.000000E+2	3.179199E+2
2.844100E-4	-2.987000E-5	5.990000E+0	9.154000E-1	1.260000E+2	3.179381E+2
2.808450E-4	-2.969000E-5	6.050000E+0	9.154000E-1	1.580000E+2	3.179249E+2
2.773750E-4	-2.973000E-5	6.130000E+0	9.154000E-1	1.990000E+2	3.179247E+2
